"","Sexo","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","Index_Dep5T"
"695",2,2,2,3,NA,2
"696",1,2,6,4,4,26
"697",1,4,2,4,4,8
"698",2,6,4,7,7,12
"699",NA,3,3,2,NA,2
"700",1,1,2,1,1,1
"701",1,5,3,3,3,15
"702",1,6,2,1,1,21
"703",1,2,4,6,6,16
"704",1,4,3,6,5,12
"705",NA,2,4,5,4,16
"706",2,4,4,7,7,9
"707",1,4,5,7,7,4
"708",2,3,4,7,7,26
"709",2,2,4,4,4,0
"710",NA,4,2,1,1,16
"711",2,4,2,7,7,12
"712",1,5,2,7,7,8
"713",1,2,2,7,7,8
"714",2,3,2,4,4,15
"715",1,2,3,1,1,22
"716",2,4,2,4,4,1
"717",NA,3,5,6,5,11
"718",1,1,2,NA,5,1
"719",1,2,2,1,2,11
"720",2,3,3,4,4,16
"721",1,5,4,7,7,9
"722",1,2,2,2,2,4
"723",2,4,1,1,1,6
"724",2,3,3,7,7,8
"725",1,4,4,5,5,13
"726",1,6,2,7,7,17
"727",1,2,3,2,NA,14
"728",NA,2,3,1,1,3
"729",2,3,1,6,6,8
"730",1,2,1,1,1,4
"731",1,1,5,1,NA,22
"732",1,3,5,1,NA,9
"733",2,2,3,1,1,16
"734",2,5,4,3,2,14
"735",2,3,4,1,1,14
"736",1,3,3,NA,5,8
"737",1,4,5,6,6,20
"738",1,3,4,1,1,13
"739",1,NA,4,5,5,20
"740",1,3,5,1,1,2
"741",2,3,4,1,1,1
"742",1,2,3,1,1,1
"743",1,2,4,NA,NA,8
"744",1,4,3,3,3,5
"745",1,4,2,1,1,13
"746",1,3,3,3,3,16
"747",1,5,2,4,4,11
"748",2,2,2,5,5,10
"749",2,5,4,4,4,8
"750",1,3,2,6,NA,15
"751",1,3,3,1,NA,12
"752",2,3,1,5,5,4
"753",2,1,3,1,1,8
"754",1,2,2,2,2,18
"755",2,2,3,5,5,8
"756",1,2,2,1,NA,14
"757",1,NA,2,1,1,25
"758",1,3,3,2,2,17
"759",NA,NA,NA,NA,NA,0
"760",2,4,3,7,NA,9
"761",1,3,1,3,NA,9
"762",2,3,1,4,NA,10
"763",1,2,3,1,1,17
"764",2,NA,3,2,2,20
"765",1,4,NA,2,1,1
"766",1,4,3,6,6,19
"767",NA,NA,3,1,1,22
"768",NA,2,3,6,3,29
"769",NA,NA,NA,NA,NA,0
"770",2,1,1,2,NA,15
"771",1,NA,3,4,4,2
"772",1,3,4,4,4,1
"773",NA,NA,NA,NA,NA,0
"774",2,2,5,5,5,12
"775",1,2,1,2,2,22
"776",1,NA,4,1,1,14
"777",2,4,3,4,4,12
"778",2,4,4,1,1,8
"779",1,1,2,1,1,8
"780",1,NA,3,2,2,8
"781",1,NA,2,2,2,9
"782",1,3,5,5,4,11
"783",1,2,2,NA,NA,11
"784",2,2,2,1,1,9
"785",2,4,3,6,6,13
"786",1,4,4,2,2,13
"787",1,NA,4,2,2,8
"788",NA,2,2,1,1,15
"789",2,3,4,3,3,16
"790",1,2,2,1,1,23
"791",NA,1,NA,1,1,9
"792",1,4,3,2,2,10
"793",2,2,3,3,3,11
"794",2,5,2,5,5,25
"795",1,5,4,7,7,9
"796",NA,NA,2,1,1,8
"797",1,1,2,1,1,3
"798",1,3,3,1,1,4
"799",2,NA,1,1,1,12
"800",1,4,4,6,6,14
"801",2,2,3,4,4,9
"802",2,5,4,7,7,10
"803",NA,3,5,2,NA,23
"804",1,6,3,6,5,9
"805",1,NA,4,1,1,11
"806",1,3,5,4,4,24
"807",1,2,2,4,4,18
"808",1,1,3,2,2,29
"809",1,5,5,5,5,8
"810",1,4,3,1,1,19
"811",1,4,5,2,2,17
"812",2,4,4,NA,NA,10
"813",NA,2,2,3,3,31
"814",1,4,2,NA,NA,2
"815",2,3,2,3,3,1
"816",2,5,5,5,6,1
"817",1,3,3,6,6,5
"818",1,NA,2,2,4,20
"819",1,5,4,7,7,9
"820",1,5,3,5,5,13
"821",2,4,3,3,3,20
"822",1,NA,3,3,3,12
"823",1,1,2,1,1,27
"824",1,4,2,4,NA,2
"825",1,3,3,2,2,9
"826",1,3,6,4,4,9
"827",1,2,4,4,4,20
"828",2,2,4,4,4,10
"829",1,5,2,6,6,12
"830",1,3,4,3,3,7
"831",2,6,2,4,4,10
"832",1,3,4,1,1,5
"833",1,4,4,7,7,18
"834",1,4,2,1,1,0
"835",1,2,3,1,1,16
"836",1,4,4,6,6,7
"837",1,5,5,5,5,11
"838",2,3,3,7,7,8
"839",1,3,3,7,7,12
"840",1,4,3,6,4,10
"841",2,1,0,1,1,8
"842",1,4,1,2,2,10
"843",1,3,2,1,1,9
"844",NA,2,1,2,2,20
